session_duration_seconds,mean_tap_duration_ms,std_tap_duration_ms,tap_frequency_per_sec,mean_swipe_speed,std_swipe_speed,mean_swipe_distance,std_swipe_distance,tap_zone_x,tap_zone_y,swipe_zone_x,swipe_zone_y,mean_screen_duration,std_screen_duration,fd_broken,loan_taken,time_from_login_to_fd,time_from_login_to_loan,time_from_login_transaction,label
24,2210.090909090909,3234.0911735769396,0.4583333333333333,0.6215219176612051,0.8104732291845711,76.18616629575642,67.65257631198091,1.2727272727272727,1.0,1.7142857142857142,1.4285714285714286,20.0,15.937377450509228,0,0,,,2.0,0
31,2269.769230769231,2344.388952825486,0.3870967741935484,0.6013131646302468,0.7106297530024064,85.04553350037438,60.54382465144481,1.3333333333333333,1.0,1.5714285714285714,1.2857142857142858,16.5,9.069178573608527,1,0,13.0,,16.0,0
139,5620.95652173913,7472.8080716937,0.10071942446043165,0.05358808047615183,0.05409449791351401,117.90788684218312,115.4022909657631,1.0714285714285714,1.0,1.1818181818181819,1.1818181818181819,66.66666666666667,49.21607686744467,1,0,103.0,,,0
173,4616.5,7522.3794015664425,0.15028901734104047,0.09058449234012857,0.10747114670136794,123.94607204612981,104.87288874202935,0.7619047619047619,1.2857142857142858,1.2857142857142858,1.4285714285714286,65.0,33.38263021393012,1,1,165.0,100.0,,0
200,8286.478260869566,16316.769031914124,0.095,0.027928119931097017,0.030050757456350302,77.27859202419764,73.14685367959413,0.7058823529411765,1.1764705882352942,1.2,1.2,110.25,78.27954713716731,0,1,,187.0,,0
142,8925.333333333334,18345.283018318965,0.06338028169014084,256.31347656250006,95.03448600611149,256.31347656250006,95.03448600611149,1.0,0.75,,,116.0,5.0,0,0,,,24.0,0
126,5712.714285714285,6535.7814859933205,0.1111111111111111,0.038814060612571186,0.044634497031633025,114.47238386124037,139.3936007259286,0.9090909090909091,1.1818181818181819,0.8571428571428571,1.5714285714285714,55.5,10.594810050208546,1,0,68.0,,87.0,0
29,2373.0,3133.446780667054,0.20689655172413793,0.06941634317859552,0.06195129622411242,152.05449783871532,133.51693957233314,1.4,1.4,1.25,1.5,19.0,3.0,1,0,26.0,,,0
62,1655.6857142857143,2195.7396250977686,0.3548387096774194,0.24375319549359536,0.18414976406070735,203.3924579248673,117.8052955848034,1.0,1.0588235294117647,1.5,0.5,24.2,7.277362159464101,1,1,25.0,58.0,,0
48,1721.3846153846155,1769.5135593395128,0.3541666666666667,0.07669492779234424,0.042038199353088807,198.7091764390501,108.80962286762151,0.9375,1.1875,1.5,1.0,30.0,13.416407864998739,0,1,,36.0,,0
46,2748.3571428571427,3297.98582703233,0.17391304347826086,,,,,0.625,0.375,,,44.666666666666664,35.11251755270318,0,0,,,11.0,0
59,1487.842105263158,1944.184005888708,0.4067796610169492,0.07058955665983613,0.05029709952488317,116.67487354564167,89.51719682747729,0.75,1.0,1.0,1.0,23.666666666666668,12.405196043952264,0,1,,55.0,8.0,0
59,5612.7,10126.514662508518,0.1016949152542373,0.39468720415172037,0.32607902673827677,214.456081766475,175.0245695879363,1.5,1.3333333333333333,1.4,1.4,50.0,36.0,1,0,55.0,,,0
94,2581.4,4332.308847979991,0.23404255319148937,0.47605654028702,0.5647502725288874,162.08516122788234,163.85113240030992,1.2352941176470589,1.1176470588235294,1.6,0.8,36.8,19.72206885699368,1,1,35.0,87.0,,0
150,5400.666666666667,13131.190341236312,0.12,0.39874466629669075,0.3565896540286171,218.5950795864031,189.623608990663,1.0714285714285714,1.2857142857142858,1.2,1.2,97.25,84.16167476945786,0,1,,142.0,,0
41,4911.125,3045.638374688466,0.1951219512195122,0.27026529360405244,0.25089061966126536,81.75156273029987,67.32230277718736,1.8571428571428572,1.5714285714285714,1.8571428571428572,1.5714285714285714,30.5,17.5,1,0,35.0,,,0
88,3334.346153846154,4754.680268651152,0.2840909090909091,0.3498167433075887,0.3586436252163078,83.62510959233319,76.60308984779459,1.5217391304347827,1.391304347826087,1.8333333333333333,1.3333333333333333,38.6,21.341040274550814,1,1,30.0,83.0,,0
58,2960.7894736842104,3347.198586390013,0.3275862068965517,0.2458763238817315,0.18719611164887864,74.84235842399329,53.25100476389512,1.3333333333333333,1.1333333333333333,1.625,0.875,33.75,23.209642392764263,0,1,,50.0,,0
59,6444.222222222223,6426.353273440679,0.15254237288135594,0.16107005620968398,0.16295804513758275,122.81267850476931,110.26543811488803,1.1428571428571428,0.42857142857142855,0.75,0.75,50.333333333333336,34.721111093332766,0,0,,,11.0,0
72,7122.5,5701.096144602369,0.1388888888888889,0.29024633684276047,0.20907184371214033,121.19725522214904,96.26193874938774,1.1,0.5,1.25,1.0,61.666666666666664,42.94440850939994,0,0,,,16.0,0
110,7143.466666666666,9951.695988568426,0.08181818181818182,0.503848730677084,0.49639640724036144,248.39280387565395,197.17485828736756,1.0,0.375,0.8,0.6,95.0,66.37770710110436,0,0,,,20.0,0
95,2293.0,3377.6342046634977,0.25263157894736843,0.37976215910366706,0.37153817053849275,240.4361715180637,185.72727949460585,1.3,0.85,1.0,0.75,39.0,21.432063207571346,0,1,,88.0,10.0,0
